listing_id,address,suburb,state,postcode,property_type,bedrooms,bathrooms,car_spaces,land_size_m2,latitude,longitude,sale_date,sale_method,sale_price,source_url,source_file,source_page,expected_suburb
2019953310,113 Railway Street,Parramatta,NSW,2150,House,2,1,,,-33.82386,150.99458,2025-05-21,prior to auction,830000,https://www.domain.com.au/113-railway-street-parramatta-nsw-2150-2019953310,Parramattar2.html,2,Parramatta
2019964690,158 Railway Street,Parramatta,NSW,2150,House,3,1,2,455,-33.824337,150.99445,2025-05-24,at auction,1472000,https://www.domain.com.au/158-railway-street-parramatta-nsw-2150-2019964690,Parramattar2.html,2,Parramatta
2019964694,8 Gould Place,Parramatta,NSW,2150,House,3,3,2,467,-33.81104,151.01881,2025-06-06,by private treaty,1950000,https://www.domain.com.au/8-gould-place-parramatta-nsw-2150-2019964694,Parramattar2.html,2,Parramatta
2020004704,4 Alma Street,Parramatta,NSW,2150,House,3,1,2,582,-33.82389,150.99873,2025-06-14,at auction,1430000,https://www.domain.com.au/4-alma-street-parramatta-nsw-2150-2020004704,Parramattar2.html,2,Parramatta
2020016286,14 ROSS STREET,Parramatta,NSW,2150,House,3,3,8,437,-33.807392,151.00449,2025-09-23,by private treaty,3000000,https://www.domain.com.au/14-ross-street-parramatta-nsw-2150-2020016286,Parramattar2.html,2,Parramatta
2020055889,76 O'Connell Street,Parramatta,NSW,2150,House,3,1,1,253,-33.803368,151.00342,2025-07-05,at auction,1150000,https://www.domain.com.au/76-o-connell-street-parramatta-nsw-2150-2020055889,Parramattar2.html,2,Parramatta
2020213990,9 Carrington Street,Parramatta,NSW,2150,House,5,3,2,455,-33.824074,150.99594,2025-09-20,at auction,1785000,https://www.domain.com.au/9-carrington-street-parramatta-nsw-2150-2020213990,Parramattar2.html,2,Parramatta
2020522373,52 Balmoral Street,Blacktown,NSW,2148,House,4,1,1,696,-33.774178,150.90274,2026-09-08,by private treaty,1300000,https://www.domain.com.au/52-balmoral-street-blacktown-nsw-2148-2020522373,Blacktown.html,1,Blacktown
2020854746,28 Eggleton Street,Blacktown,NSW,2148,House,3,1,2,866,-33.749477,150.92068,2026-08-13,by private treaty,1263000,https://www.domain.com.au/28-eggleton-street-blacktown-nsw-2148-2020854746,Blacktown.html,1,Blacktown
2020928309,41 Dagmar Crescent,Blacktown,NSW,2148,House,3,1,2,569,-33.777912,150.89784,2026-08-18,by private treaty,880000,https://www.domain.com.au/41-dagmar-crescent-blacktown-nsw-2148-2020928309,Blacktown.html,1,Blacktown
2020935111,45 & 45a Dina Beth Avenue,Blacktown,NSW,2148,House,5,2,4,,-33.77313,150.88594,2026-08-14,by private treaty,1250000,https://www.domain.com.au/45-45a-dina-beth-avenue-blacktown-nsw-2148-2020935111,Blacktown.html,1,Blacktown
2020942686,41 Burrell Parade,Blacktown,NSW,2148,House,3,1,2,556,-33.778255,150.8859,2026-08-11,by private treaty,960000,https://www.domain.com.au/41-burrell-parade-blacktown-nsw-2148-2020942686,Blacktown.html,1,Blacktown
2020956124,59 Walters Road,Blacktown,NSW,2148,House,3,1,1,562,-33.77647,150.89546,2026-08-08,at auction,900000,https://www.domain.com.au/59-walters-road-blacktown-nsw-2148-2020956124,Blacktown.html,1,Blacktown
2020975715,12 Glamorgan Street,Blacktown,NSW,2148,House,3,1,1,556,-33.78562,150.90953,2026-08-11,by private treaty,1030000,https://www.domain.com.au/12-glamorgan-street-blacktown-nsw-2148-2020975715,Blacktown.html,1,Blacktown
2020986492,38-38A Burrell Parade,Blacktown,NSW,2148,House,5,3,4,563,-33.77853,150.88475,2026-08-28,by private treaty,1480000,https://www.domain.com.au/38-38a-burrell-parade-blacktown-nsw-2148-2020986492,Blacktown.html,1,Blacktown
2020999920,57 Walters Road,Blacktown,NSW,2148,House,3,1,1,835,-33.77636,150.89548,2026-08-08,at auction,1221000,https://www.domain.com.au/57-walters-road-blacktown-nsw-2148-2020999920,Blacktown.html,1,Blacktown
2021007303,39 Burke Street,Blacktown,NSW,2148,House,5,3,2,,-33.783436,150.89615,2026-08-26,by private treaty,1500000,https://www.domain.com.au/39-burke-street-blacktown-nsw-2148-2021007303,Blacktown.html,1,Blacktown
2021008809,94 Lancelot Street,Blacktown,NSW,2148,House,3,1,1,562,-33.789364,150.9084,2026-08-18,by private treaty,950000,https://www.domain.com.au/94-lancelot-street-blacktown-nsw-2148-2021008809,Blacktown.html,1,Blacktown
2021011590,6 Garden Street,Blacktown,NSW,2148,House,4,2,6,556,-33.753593,150.92188,2026-08-20,by private treaty,1235000,https://www.domain.com.au/6-garden-street-blacktown-nsw-2148-2021011590,Blacktown.html,1,Blacktown
2021021271,41 Anthony Street,Blacktown,NSW,2148,House,3,1,1,,-33.750187,150.92145,2026-08-17,by private treaty,910000,https://www.domain.com.au/41-anthony-street-blacktown-nsw-2148-2021021271,Blacktown.html,1,Blacktown
2021028157,4 &4 A Joseph Street,Blacktown,NSW,2148,House,5,2,5,713,-33.781784,150.90298,2026-09-14,by private treaty,1340000,https://www.domain.com.au/4-4-a-joseph-street-blacktown-nsw-2148-2021028157,Blacktown.html,1,Blacktown
2021028342,13 Lancaster Street,Blacktown,NSW,2148,House,7,4,6,739,-33.768253,150.89288,2026-08-22,at auction,1900000,https://www.domain.com.au/13-lancaster-street-blacktown-nsw-2148-2021028342,Blacktown.html,1,Blacktown
2021058172,42 Burke Street,Blacktown,NSW,2148,House,5,3,6,,-33.78379,150.89537,2026-09-11,by private treaty,1260000,https://www.domain.com.au/42-burke-street-blacktown-nsw-2148-2021058172,Blacktown.html,1,Blacktown
2021064898,19 Stephen Street,Blacktown,NSW,2148,House,3,1,1,575,-33.755634,150.91685,2026-08-26,by private treaty,1062500,https://www.domain.com.au/19-stephen-street-blacktown-nsw-2148-2021064898,Blacktown.html,1,Blacktown
2021066693,9 Kirkman Road,Blacktown,NSW,2148,House,4,1,2,638,-33.77391,150.90092,2026-09-03,prior to auction,1070000,https://www.domain.com.au/9-kirkman-road-blacktown-nsw-2148-2021066693,Blacktown.html,1,Blacktown
2021120258,17 Carinya Street,Blacktown,NSW,2148,House,3,1,1,1182,-33.77061,150.90178,2026-09-01,by private treaty,1600000,https://www.domain.com.au/17-carinya-street-blacktown-nsw-2148-2021120258,Blacktown.html,1,Blacktown
2021139486,9 Cardiff Street,Blacktown,NSW,2148,House,5,2,2,556,-33.766544,150.91805,2026-09-08,by private treaty,1089000,https://www.domain.com.au/9-cardiff-street-blacktown-nsw-2148-2021139486,Blacktown.html,1,Blacktown
2020784714,12 Siebel Street,Blacktown,NSW,2148,House,5,2,1,560,-33.758507,150.88902,2026-08-05,by private treaty,1080000,https://www.domain.com.au/12-siebel-street-blacktown-nsw-2148-2020784714,Blacktown2.html,2,Blacktown
2020795474,9 Nicholas Street,Blacktown,NSW,2148,House,5,2,1,550,-33.778313,150.90259,2026-07-28,by private treaty,1200000,https://www.domain.com.au/9-nicholas-street-blacktown-nsw-2148-2020795474,Blacktown2.html,2,Blacktown
2020820776,2 Sparkle Avenue,Blacktown,NSW,2148,House,3,2,3,556,-33.781544,150.89061,2026-07-17,by private treaty,1100000,https://www.domain.com.au/2-sparkle-avenue-blacktown-nsw-2148-2020820776,Blacktown2.html,2,Blacktown
2020866176,94 Reservoir Road,Blacktown,NSW,2148,House,3,2,2,593,-33.785225,150.8996,2026-07-19,by private treaty,1000000,https://www.domain.com.au/94-reservoir-road-blacktown-nsw-2148-2020866176,Blacktown2.html,2,Blacktown
2020866983,2 Cooper Street,Blacktown,NSW,2148,House,3,1,1,556,-33.777637,150.90088,2026-07-17,by private treaty,999999,https://www.domain.com.au/2-cooper-street-blacktown-nsw-2148-2020866983,Blacktown2.html,2,Blacktown
2020872650,19 Valda Street,Blacktown,NSW,2148,House,3,1,2,550,-33.78458,150.90373,2026-07-18,by private treaty,925000,https://www.domain.com.au/19-valda-street-blacktown-nsw-2148-2020872650,Blacktown2.html,2,Blacktown
2020916590,53 - 53A Pelleas Street,Blacktown,NSW,2148,House,7,4,2,584,-33.789696,150.91354,2026-07-29,at auction,1700000,https://www.domain.com.au/53-53a-pelleas-street-blacktown-nsw-2148-2020916590,Blacktown2.html,2,Blacktown
2020933655,8 Prospect Street,Blacktown,NSW,2148,House,3,1,1,556,-33.77928,150.89606,2026-07-21,by private treaty,1050000,https://www.domain.com.au/8-prospect-street-blacktown-nsw-2148-2020933655,Blacktown2.html,2,Blacktown
2020934642,28 Cavendish Avenue,Blacktown,NSW,2148,House,3,2,3,556,-33.785645,150.91763,2026-07-17,by private treaty,1110000,https://www.domain.com.au/28-cavendish-avenue-blacktown-nsw-2148-2020934642,Blacktown2.html,2,Blacktown
2020938308,11-11a Virginia Street,Blacktown,NSW,2148,House,4,2,2,588,-33.757984,150.89313,2026-07-25,at auction,1075000,https://www.domain.com.au/11-11a-virginia-street-blacktown-nsw-2148-2020938308,Blacktown2.html,2,Blacktown
